oat_c\pa_ft,0,5000,10000,15000,20000,25000,30000,35000,37000,39000,41000
-45,86.1,92.9,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.7
-40,87.1,93.2,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4,100.4
-35,88.0,94.2,100.2,100.2,100.2,100.2,100.2,100.2,100.2,100.2,100.2
-30,89.0,95.2,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
-25,89.9,96.1,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6
-20,90.7,97.1,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2
-15,91.6,98.0,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8,98.8
-10,92.5,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4
-5,93.3,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8
0,94.1,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3
5,95.0,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6
10,95.8,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9
15,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2
20,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3
25,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4
30,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3
35,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2
40,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
45,88.6,88.6,88.6,88.6,88.6,88.6,88.6,88.6,88.6,88.6,88.6
