oat_c\pa_ft,0,5000,10000,15000,20000,25000,30000,35000,37000,39000,41000
-45,85.9,92.2,100.7,100.7,100.7,100.7,97.0,93.3,91.9,90.4,88.4
-40,87.1,93.2,100.4,100.4,100.0,99.6,95.3,91.1,90.0,88.9,86.9
-35,87.9,94.2,100.2,100.3,99.3,98.2,93.6,88.9,88.1,87.4,85.9
-30,88.9,95.2,99.9,99.9,99.9,96.7,91.8,87.0,86.4,85.9,84.0
-25,89.7,96.1,99.6,99.3,97.2,95.0,90.2,85.3,,,
-20,90.7,97.1,99.2,96.0,93.4,88.7,83.7,,,,
-15,91.6,98.0,98.5,97.4,94.6,91.9,87.1,,,,
-10,92.5,97.7,97.7,96.1,93.1,90.1,85.1,,,,
-5,93.3,96.9,96.9,94.8,91.4,87.9,,,,,
0,94.1,95.7,95.7,93.6,89.8,86.1,,,,,
5,94.5,94.5,94.5,92.1,88.2,84.5,,,,,
10,93.3,93.3,93.3,90.6,86.6,81.8,,,,,
15,,,,,,,,,,,
20,,,,,,,,,,,
25,,,,,,,,,,,
30,,,,,,,,,,,
35,,,,,,,,,,,
40,,,,,,,,,,,
45,,,,,,,,,,,
