oat_c\pa_ft,0,5000,10000,15000,20000,25000,30000,35000,37000,39000,41000
-45,85.9,92.2,101.5,101.5,101.5,101.5,101.5,101.5,100.5,100.5,100.5
-40,87.1,93.2,101.5,101.5,101.5,101.5,101.5,101.5,100.5,100.5,100.5
-35,87.9,94.2,101.5,101.5,101.5,101.5,101.5,101.5,100.5,100.5,100.5
-30,88.9,95.2,100.8,100.8,100.8,100.8,100.8,100.8,100.1,100.1,100.1
-25,89.7,96.1,100.3,100.3,100.3,100.3,100.3,100.3,99.7,99.7,99.7
-20,90.7,97.1,99.7,99.7,99.7,99.7,99.7,99.7,99.2,99.2,99.2
-15,91.6,98.0,99.1,99.1,99.1,99.1,99.1,99.1,98.8,98.8,98.8
-10,92.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.3,98.3,98.3
-5,93.3,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.8,97.8,97.8
0,94.1,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3
5,95.0,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6,96.6
10,95.8,95.8,95.8,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9
15,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2
20,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3
25,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4
30,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3
35,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.2,91.2,91.2
40,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
45,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5
