oat_c\pa_ft,0,5000,10000,15000,20000,25000,30000,35000,37000,39000,41000
-45,85.9,92.2,101.5,101.5,101.5,101.5,101.5,96.5,93.8,91.1,88.4
-40,87.1,93.2,101.5,101.5,101.5,101.3,98.0,94.7,92.1,89.6,87.1
-35,87.9,94.2,101.5,101.5,100.8,100.1,96.4,92.7,90.4,88.1,85.9
-30,88.9,95.2,100.8,100.8,99.9,98.8,94.7,90.6,88.6,86.6,84.7
-25,89.7,96.1,100.3,100.3,98.9,97.5,93.0,88.6,85.8,,
-20,90.7,97.1,99.7,99.7,97.8,96.2,91.5,86.9,,,
-15,91.6,98.0,99.1,98.6,96.7,94.7,90.0,85.3,,,
-10,92.5,98.4,98.4,97.4,95.4,93.3,88.6,,,,
-5,93.3,97.6,97.6,96.1,93.9,91.8,87.0,,,,
0,94.1,96.7,96.6,94.8,92.4,90.1,84.8,,,,
5,95.0,95.6,95.6,93.5,90.9,88.4,,,,,
10,94.4,94.4,94.4,92.2,89.6,87.0,,,,,
15,,,,,,,,,,,
20,,,,,,,,,,,
25,,,,,,,,,,,
30,,,,,,,,,,,
35,,,,,,,,,,,
40,,,,,,,,,,,
45,,,,,,,,,,,
